attribute,fleiss_kappa,cohen_12,cohen_13,cohen_23,mean_cohen,std_cohen
attractive,0.6781,0.6745,0.6606,0.7004,0.6785,0.0165
blurry_image,0.5033,0.598,0.586,0.3664,0.5168,0.1065
sharp_jawline,0.3397,0.3631,0.4743,0.2523,0.3632,0.0906
high_cheekbones,0.3026,0.2089,0.4627,0.3583,0.3433,0.1042
smiling,0.7101,0.656,0.7904,0.6851,0.7105,0.0577
bald,0.8555,1.0,0.7976,0.7976,0.865,0.0954
receeding_hairline,0.5203,0.476,0.5065,0.6291,0.5372,0.0662
long_hair,0.4655,0.2807,0.918,0.2299,0.4762,0.3131
curly_hair,0.5862,0.5327,0.7048,0.5159,0.5845,0.0854
grey_hair,0.7376,0.7108,0.8526,0.6695,0.7443,0.0784
black_hair,0.7484,0.7232,0.8938,0.6551,0.7573,0.1004
has_beard,0.8347,0.8018,0.8109,0.8902,0.8343,0.0397
patchy_beard,0.1039,0.0,0.0,0.292,0.0973,0.1377
has_mustache,0.8557,0.8547,0.8973,0.8148,0.8556,0.0337
well_groomed,0.3372,0.4522,0.3287,0.2497,0.3435,0.0833
has_makeup,0.6067,0.8025,0.5156,0.4803,0.5995,0.1443
wearing_glasses,0.931,0.9249,0.898,0.9728,0.9319,0.031
wearing_hat,0.8441,0.8618,0.7487,0.9114,0.8406,0.0681
clear_skin,0.4409,0.6185,0.349,0.3396,0.4357,0.1293
dark_circles,0.267,0.3371,0.2487,0.2178,0.2679,0.0505
oily_skin,0.3229,0.1957,0.4105,0.3621,0.3228,0.092
thick_eyebrow,-0.0464,-0.2006,0.554,-0.2593,0.0314,0.3703
big_eyes,0.189,0.2865,0.1191,0.3164,0.2407,0.0868
big_lips,-0.002,0.0,0.1071,0.0,0.0357,0.0505
sharp_nose,-0.0328,0.0735,0.2444,0.0615,0.1265,0.0835
adult,0.4239,0.4097,0.3548,0.5716,0.4454,0.092
old,0.3851,0.3164,0.3606,0.4985,0.3919,0.0776
mouth_open,0.6867,0.7416,0.5681,0.7686,0.6928,0.0888
male,0.952,0.9382,0.9794,0.9384,0.952,0.0194
double_chin,0.1468,0.1525,0.1018,0.1915,0.1486,0.0367
veil,0.9456,0.9205,1.0,0.9205,0.947,0.0375
wrinkle,0.4459,0.2876,0.3838,0.6301,0.4338,0.1442
chubby,0.0764,0.0556,0.4654,0.1849,0.2353,0.1711
