attribute,auc,accuracy,macro_f1,micro_f1,precision,recall
5_o_Clock_Shadow,0.9638505479881896,0.9375,0.8238391750318103,0.9375,0.7427385892116183,0.6310223266745005
Arched_Eyebrows,0.9162665157817469,0.8485,0.8028366631081287,0.8485,0.7323030907278165,0.6851679104477612
Attractive,0.9122717290626401,0.820625,0.8205940945295654,0.820625,0.8252907696114823,0.8206200787401575
Bags_Under_Eyes,0.8887778124851664,0.8495,0.7474077563651305,0.8495,0.6732283464566929,0.5200729927007299
Bald,0.9948465983508163,0.99,0.8632243658953376,0.99,0.7956204379562044,0.6770186335403726
Bangs,0.9851952093130657,0.9545,0.9073164496496613,0.9545,0.8876611418047882,0.7993366500829188
Big_Lips,0.7720338257815387,0.78525,0.6057552844109604,0.78525,0.6350574712643678,0.23189926547743966
Big_Nose,0.8880972961959485,0.8335,0.7295321637426901,0.8335,0.7735507246376812,0.44111570247933884
Black_Hair,0.9601954356638135,0.90125,0.8663977823384802,0.90125,0.7399336807200378,0.8663338879645036
Blond_Hair,0.9836777530636532,0.95325,0.9098124098124099,0.95325,0.8403565640194489,0.8542009884678748
Blurry,0.9726995064872377,0.96575,0.7942090115423208,0.96575,0.7009966777408638,0.5341772151898734
Brown_Hair,0.9253306429652015,0.876875,0.8029990100700256,0.876875,0.7584229390681003,0.6201641266119577
Bushy_Eyebrows,0.9379036433793261,0.911375,0.7523044485762943,0.911375,0.8906882591093117,0.4018264840182648
Chubby,0.9503417015165418,0.9525,0.7006034023271782,0.9525,0.746031746031746,0.29809725158562367
Double_Chin,0.9551588909455402,0.95875,0.6732477539496178,0.95875,0.768,0.24181360201511334
Eyeglasses,0.9986464903995402,0.995875,0.9823835568119282,0.995875,0.9777327935222672,0.9564356435643564
Goatee,0.9869493268053856,0.96925,0.8604245816141727,0.96925,0.7483731019522777,0.7263157894736842
Gray_Hair,0.9877601686858349,0.979,0.8429371500852394,0.979,0.9061032863849765,0.5659824046920822
Heavy_Makeup,0.9787974540075554,0.911625,0.9054594035307402,0.911625,0.9162303664921466,0.8489650711513583
High_Cheekbones,0.9460311761282866,0.87325,0.8723220928297712,0.87325,0.8645090510148108,0.8583877995642701
Male,0.998303861263763,0.980875,0.9802410179323902,0.980875,0.9840441853329243,0.9694679564691656
Mouth_Slightly_Open,0.9803752308464555,0.931875,0.9318736960199628,0.931875,0.9293587174348698,0.9338031714069972
Mustache,0.9780369747899159,0.96725,0.7305911211265405,0.96725,0.7894736842105263,0.34285714285714286
Narrow_Eyes,0.8748952076397678,0.905,0.6836157063154469,0.905,0.6129753914988815,0.31823461091753774
No_Beard,0.9876316447329798,0.959,0.9217922824481257,0.959,0.9741506646971935,0.9773266152934202
Oval_Face,0.7702204742212461,0.760625,0.6406107168711288,0.760625,0.731,0.30753050063104753
Pale_Skin,0.9636864988723898,0.969875,0.7554825864412811,0.969875,0.8072289156626506,0.39067055393586003
Pointy_Nose,0.8087030632871239,0.770125,0.7034657202079344,0.770125,0.6147455867082036,0.5190705830775976
Receding_Hairline,0.9418799678905025,0.938875,0.743738208403854,0.938875,0.7029177718832891,0.4127725856697819
Rosy_Cheeks,0.9565469401492063,0.94775,0.7038716304771351,0.94775,0.8609625668449198,0.2911392405063291
Sideburns,0.9909764428663871,0.979125,0.8952051574750373,0.979125,0.8219512195121951,0.7819025522041764
Smiling,0.9806976568541242,0.927625,0.927619298888839,0.927625,0.9176029962546817,0.9365443425076453
Straight_Hair,0.896214992175382,0.8545,0.7708235320523669,0.8545,0.6551047120418848,0.6111111111111112
Wavy_Hair,0.927506801360042,0.86025,0.8306627116261711,0.86025,0.8423809523809523,0.6920970266040689
Wearing_Earrings,0.9585556068186297,0.919125,0.8629051069993061,0.919125,0.8389766741911211,0.7202842377260982
Wearing_Hat,0.9951920048844757,0.98875,0.9387547618172687,0.98875,0.9419889502762431,0.8317073170731707
Wearing_Lipstick,0.9857902855507666,0.935625,0.9354323371561621,0.935625,0.928345626975764,0.9354924342978498
Wearing_Necklace,0.8729777132863539,0.89475,0.6625842838010803,0.89475,0.6444444444444445,0.2721584984358707
Wearing_Necktie,0.9744916397904801,0.965125,0.8540562075838594,0.965125,0.8607888631090487,0.6288135593220339
Young,0.9340826842555272,0.890875,0.8372889657805695,0.890875,0.909217877094972,0.9531478770131772
