attribute,auc,accuracy,macro_f1,micro_f1,precision,recall
5_o_Clock_Shadow,0.9596352542219097,0.934,0.82121909278509,0.934,0.7031446540880503,0.6568742655699178
Arched_Eyebrows,0.9105810917237583,0.808375,0.783967663214465,0.808375,0.5964635301547205,0.8810634328358209
Attractive,0.9106482509522439,0.81875,0.818658195711579,0.81875,0.8175413022351797,0.828001968503937
Bags_Under_Eyes,0.8854618851624384,0.8425,0.7181318720036831,0.8425,0.6842610364683301,0.43369829683698297
Bald,0.9957950334329309,0.99025,0.887337858596013,0.99025,0.7150259067357513,0.8571428571428571
Bangs,0.986902891098428,0.95625,0.9113316953341851,0.95625,0.889090909090909,0.8109452736318408
Big_Lips,0.7531678416249655,0.77625,0.6268516315182793,0.77625,0.5562015503875969,0.3011542497376705
Big_Nose,0.883942151486077,0.835625,0.7501600626157781,0.835625,0.7241877256317689,0.5180785123966942
Black_Hair,0.9565363198391579,0.905375,0.8620586323245505,0.905375,0.8051341890315052,0.7653910149750416
Blond_Hair,0.982926618471696,0.956375,0.9149561206174417,0.956375,0.8595178719866999,0.8517298187808896
Blurry,0.9754831514909412,0.967,0.7919981531957239,0.967,0.7453183520599251,0.5037974683544304
Brown_Hair,0.9225793205982289,0.8705,0.7840325643871158,0.8705,0.7719155844155844,0.5574443141852286
Bushy_Eyebrows,0.9399143628963196,0.919625,0.7913139799227333,0.919625,0.8575949367088608,0.4949771689497717
Chubby,0.9437986602705244,0.95,0.7399198628077277,0.95,0.6083086053412463,0.4334038054968288
Double_Chin,0.9525869908835537,0.95925,0.7322943727209608,0.95925,0.6497890295358649,0.3879093198992443
Eyeglasses,0.9982789846696478,0.9955,0.9811857129530357,0.9955,0.9535783365570599,0.9762376237623762
Goatee,0.9852035670571778,0.96525,0.8280591934058845,0.96525,0.7598944591029023,0.6063157894736843
Gray_Hair,0.9861447575332568,0.9785,0.871871227604003,0.9785,0.7340720221606648,0.7771260997067448
Heavy_Makeup,0.9777323186475917,0.909625,0.906672152098059,0.909625,0.8398852223816355,0.9466364812419146
High_Cheekbones,0.9465051128789985,0.8755,0.8740986869099798,0.8755,0.8840413318025259,0.8387799564270153
Male,0.9976663757085822,0.972,0.9709741089051434,0.972,0.9836888331242158,0.9480048367593712
Mouth_Slightly_Open,0.9816218501455474,0.931125,0.9310603421412036,0.931125,0.9524061343204654,0.9066196828593003
Mustache,0.973406162464986,0.964875,0.7377500517675332,0.964875,0.6682926829268293,0.3914285714285714
Narrow_Eyes,0.871084369299259,0.9045,0.6526612783701631,0.9045,0.6483180428134556,0.2462253193960511
No_Beard,0.9863012896023151,0.959875,0.9216190883646802,0.959875,0.9697412658967988,0.9831061055127445
Oval_Face,0.7622871715580676,0.757875,0.6591811969017072,0.757875,0.6669195751138088,0.3697938578039546
Pale_Skin,0.9636213895248578,0.96575,0.6907477133389315,0.96575,0.8053097345132744,0.2653061224489796
Pointy_Nose,0.7964186232022764,0.76475,0.6292822139376493,0.76475,0.7259343148357871,0.2810170977641385
Receding_Hairline,0.9382937934339803,0.9365,0.7679686684621689,0.9365,0.6240740740740741,0.5249221183800623
Rosy_Cheeks,0.9589455661478546,0.950125,0.7733884007092262,0.950125,0.7015706806282722,0.484629294755877
Sideburns,0.9896687520442249,0.974,0.8563337477552149,0.974,0.8389057750759878,0.6403712296983759
Smiling,0.9794811864583114,0.92425,0.9239987207705476,0.92425,0.9587942477876106,0.8835372069317023
Straight_Hair,0.8901176629092379,0.84925,0.7316450558605516,0.84925,0.702626641651032,0.45726495726495725
Wavy_Hair,0.9252819862271021,0.86125,0.8358676623141285,0.86125,0.814621409921671,0.7323943661971831
Wearing_Earrings,0.9563163516390567,0.90575,0.8548964183663416,0.90575,0.7313519813519813,0.8107235142118863
Wearing_Hat,0.9962106751502298,0.990375,0.9510207677510557,0.990375,0.8973747016706444,0.9170731707317074
Wearing_Lipstick,0.9854049154659833,0.931875,0.9318653919556625,0.931875,0.889318511358144,0.9769046986992301
Wearing_Necklace,0.8667040167977845,0.888125,0.6980889069979324,0.888125,0.5461095100864554,0.39520333680917624
Wearing_Necktie,0.9785809373498937,0.966125,0.8725378807364936,0.966125,0.7873873873873873,0.7406779661016949
Young,0.9316569115142754,0.8925,0.8373639187504178,0.8925,0.9060052219321149,0.9596551163169026
