attribute,auc,accuracy,macro_f1,micro_f1,precision,recall
attractive,0.9540823806303689,0.8840603748548681,0.8840600558902438,0.8840603748548681,0.8741373644429838,0.8938172043010753
blurry_image,0.974978842687282,0.9678221927351136,0.8563487150766631,0.9678221927351136,0.6968085106382979,0.7660818713450293
sharp_jawline,0.9081038138487685,0.8497263227732625,0.8128923514284963,0.8497263227732625,0.7333732774116237,0.7264094955489614
high_cheekbones,0.9839488542372228,0.937303035329242,0.9316419733800587,0.937303035329242,0.9064814814814814,0.9175257731958762
smiling,0.9639763381309645,0.8993199535578039,0.8991235893515328,0.8993199535578039,0.9029772329246936,0.8865199449793673
bald,0.9817336569460278,0.9777740918892022,0.8786455047437076,0.9777740918892022,0.7533783783783784,0.7852112676056338
receeding_hairline,0.9622673158436725,0.9573726986233206,0.804327826437369,0.9573726986233206,0.6586826347305389,0.6060606060606061
long_hair,0.9845937848691745,0.9414496599767789,0.93494813929757,0.9414496599767789,0.9049447911665867,0.9240196078431373
curly_hair,0.9420710229824737,0.9917067507049262,0.805596398906258,0.9917067507049262,0.6779661016949152,0.5633802816901409
grey_hair,0.9914157205310103,0.9787692818046111,0.9054663765900315,0.9787692818046111,0.8043478260869565,0.8409090909090909
black_hair,0.9704103829534865,0.9417813899485818,0.884382886027832,0.9417813899485818,0.959404600811908,0.9723746081504702
has_beard,0.9922790096340265,0.9631779731298723,0.95326211665478,0.9631779731298723,0.9474671669793621,0.9165154264972777
patchy_beard,0.9434313373841832,0.967988057721015,0.7384550511728981,0.967988057721015,0.5,0.48704663212435234
has_mustache,0.9923921688992391,0.9553823187925029,0.9491815167857094,0.9553823187925029,0.9490909090909091,0.9144144144144144
well_groomed,0.9309081565132413,0.8658152264057057,0.8319646887032686,0.8658152264057057,0.8875699888017917,0.9281030444964872
has_makeup,0.9888895395100753,0.9548847238347985,0.9458645623709243,0.9548847238347985,0.9406392694063926,0.9074889867841409
wearing_glasses,0.9967275289278034,0.9910432907613203,0.9767524459609298,0.9910432907613203,0.964451313755796,0.9526717557251908
wearing_hat,0.9893071885753354,0.9799303367059213,0.9349155049517581,0.9799303367059213,0.9235537190082644,0.8418079096045198
clear_skin,0.9625167581581847,0.912589152429922,0.8760315203826488,0.912589152429922,0.9350095887492009,0.9518438177874187
dark_circles,0.9557916645283429,0.8827334549676563,0.876562739951367,0.8827334549676563,0.8906320035858359,0.8110204081632653
oily_skin,0.9017015924160676,0.8294907944932824,0.8087134735970909,0.8294907944932824,0.7732170343766034,0.7200191113234592
thick_eyebrow,0.9669263982757166,0.9033007132194394,0.8929098895596018,0.9033007132194394,0.9235813366960908,0.9289700659563673
big_eyes,0.9542913763157727,0.9042959031348482,0.8568890306258354,0.9042959031348482,0.8754416961130742,0.6944639103013315
big_lips,0.9060446454451241,0.9716370874108475,0.7389962017500356,0.9716370874108475,0.503030303030303,0.48255813953488375
sharp_nose,0.9697340955462591,0.958202023552828,0.8418968531468531,0.958202023552828,0.7575,0.6615720524017468
adult,0.9383841339556871,0.9285121910764638,0.7577156431838629,0.9285121910764638,0.9323071541018016,0.9918124302195758
old,0.9756758907578225,0.9655000829324929,0.8851302629881931,0.9655000829324929,0.8004115226337448,0.778
mouth_open,0.9658188656746448,0.912589152429922,0.9074859395957668,0.912589152429922,0.9096170970614426,0.8631178707224335
male,0.9955320181832189,0.968983247636424,0.9681308671299949,0.968983247636424,0.9707136764287745,0.9759862778730704
double_chin,0.9707264597481805,0.985735611212473,0.7700610221205186,0.985735611212473,0.52,0.5777777777777777
veil,0.9890016920473773,0.9892187759164041,0.8736704506807518,0.9892187759164041,0.6875,0.8319327731092437
wrinkle,0.9770001565231998,0.9286780560623652,0.8960150333718393,0.9286780560623652,0.8479755538579068,0.8277404921700223
chubby,0.9701285563701564,0.9031348482335378,0.8971443408085624,0.9031348482335378,0.8511092150170648,0.8946188340807175
