attribute,auc,accuracy,macro_f1,micro_f1,precision,recall
attractive,0.9526772097954065,0.8789185602919224,0.878894488346363,0.8789185602919224,0.8783692722371967,0.876008064516129
blurry_image,0.9792971967460413,0.9754519820865816,0.885621069190452,0.9754519820865816,0.7819767441860465,0.7865497076023392
sharp_jawline,0.909474509675339,0.8498921877591641,0.7966018830256124,0.8498921877591641,0.8100158982511924,0.6047477744807122
high_cheekbones,0.984601169644114,0.9346491955548184,0.9287039104669702,0.9346491955548184,0.903899721448468,0.9123711340206185
smiling,0.9682182464531216,0.9037983081771438,0.9034785717471846,0.9037983081771438,0.9196106705118962,0.8772352132049519
bald,0.9771074663822797,0.9784375518328081,0.8648931446246857,0.9784375518328081,0.8532110091743119,0.6549295774647887
receeding_hairline,0.9685320295338586,0.9628462431580693,0.8047912930154248,0.9628462431580693,0.7883817427385892,0.5234159779614325
long_hair,0.9855644689562965,0.9426107148780892,0.936245546124098,0.9426107148780892,0.9064299424184261,0.9259803921568628
curly_hair,0.958356381997929,0.9923702106485321,0.803158447605258,0.9923702106485321,0.7659574468085106,0.5070422535211268
grey_hair,0.9934284273063557,0.982584176480345,0.9211174310982326,0.982584176480345,0.847887323943662,0.8551136363636364
black_hair,0.9771745530797256,0.9467573395256261,0.8980161216301094,0.9467573395256261,0.9695660710779501,0.9674764890282131
has_beard,0.992589369945067,0.9618510532426605,0.9525002658151812,0.9618510532426605,0.9182833627278072,0.9449485783424078
patchy_beard,0.9441788860991451,0.968983247636424,0.7301044680755817,0.968983247636424,0.5182926829268293,0.44041450777202074
has_mustache,0.993034835877803,0.9590313484823354,0.9539654913757188,0.9590313484823354,0.931068439192516,0.9464464464464465
well_groomed,0.9377353403639761,0.8729474207994692,0.8405085944547359,0.8729474207994692,0.8912460920053595,0.9346604215456674
has_makeup,0.9901579022764655,0.9580361585669265,0.9504881680693272,0.9580361585669265,0.9203873050026896,0.9421806167400881
wearing_glasses,0.995297971289528,0.9900481008459114,0.9739581533570614,0.9900481008459114,0.968503937007874,0.9389312977099237
wearing_hat,0.9909194851885877,0.9842428263393598,0.9504895120370161,0.9842428263393598,0.9192307692307692,0.9001883239171374
clear_skin,0.9617696156439032,0.9101011776413999,0.8736269864473744,0.9101011776413999,0.9366680978960927,0.9464208242950108
dark_circles,0.9596991520832978,0.888538729474208,0.8843832350257368,0.888538729474208,0.8649425287356322,0.86
oily_skin,0.9197335339633855,0.8457455631116272,0.8215754523167631,0.8457455631116272,0.8386721025043681,0.6880076445293837
thick_eyebrow,0.9742261838342599,0.9172333720351634,0.9084024741221935,0.9172333720351634,0.9348320282899722,0.9388635210553019
big_eyes,0.9578859866235302,0.8960026538397744,0.8356236703500981,0.8960026538397744,0.9219409282700421,0.6124737210932025
big_lips,0.9230080484095754,0.9684856526787196,0.740543687033413,0.9684856526787196,0.4563106796116505,0.5465116279069767
sharp_nose,0.9744015131384532,0.958202023552828,0.8204102185846608,0.958202023552828,0.8551724137931035,0.5414847161572053
adult,0.9456702755989397,0.9276828661469564,0.7878040810422111,0.9276828661469564,0.9448648648648649,0.9758094529214738
old,0.9815033459938507,0.9668270028197048,0.8832566533444868,0.9668270028197048,0.8504672897196262,0.728
mouth_open,0.9711024077885048,0.9200530767954884,0.9159957258671758,0.9200530767954884,0.9032948224219084,0.8918462188424165
male,0.996447481757934,0.9718029523967491,0.9710425223126247,0.9718029523967491,0.9743443557582668,0.9771297884505432
double_chin,0.9780135076986399,0.9855697462265716,0.7505759801648837,0.9855697462265716,0.5172413793103449,0.5
veil,0.9912866669510444,0.9917067507049262,0.9002254649635655,0.9917067507049262,0.7518248175182481,0.865546218487395
wrinkle,0.977813631770901,0.9339857356112125,0.9031741535402251,0.9339857356112125,0.8663558663558664,0.8314690529455631
chubby,0.9688582787304187,0.8983247636423951,0.8929409998343905,0.8983247636423951,0.8304045770331018,0.9112107623318386
