attribute,auc,accuracy,macro_f1,micro_f1,precision,recall
attractive,0.9281664606292418,0.8447503731962183,0.8446770421846719,0.8447503731962183,0.8490759753593429,0.8336693548387096
blurry_image,0.9723258236441581,0.9696467075800299,0.8579882547905975,0.9696467075800299,0.7331378299120235,0.7309941520467836
sharp_jawline,0.853695195392123,0.8066014264388788,0.7440211517677937,0.8066014264388788,0.6903888481291269,0.5584569732937685
high_cheekbones,0.9698844913275257,0.9072814728810749,0.8984059688694983,0.9072814728810749,0.8726928537624231,0.8641049671977507
smiling,0.9438087905200914,0.8649859014761984,0.8642662431698976,0.8649859014761984,0.8903803131991052,0.8211829436038515
bald,0.9823784307235931,0.9764471720019904,0.8608801433127022,0.9764471720019904,0.784,0.6901408450704225
receeding_hairline,0.9472290857747968,0.9504063692154586,0.7287724177859667,0.9504063692154586,0.6481481481481481,0.3856749311294766
long_hair,0.9792848224774995,0.9329905456958036,0.9257645376444499,0.9329905456958036,0.888045540796964,0.9176470588235294
curly_hair,0.943212818367067,0.9893846409023055,0.7620217689491499,0.9893846409023055,0.5538461538461539,0.5070422535211268
grey_hair,0.9859155563918204,0.9719688173826505,0.8709808497477298,0.9719688173826505,0.7667638483965015,0.7471590909090909
black_hair,0.9621475472337542,0.9344833305689169,0.8698895725954234,0.9344833305689169,0.9551517494683935,0.968064263322884
has_beard,0.9879820745837992,0.9522308840603748,0.9390343310388298,0.9522308840603748,0.9344366645448758,0.8880822746521476
patchy_beard,0.9083427146849818,0.9608558633272516,0.5802522892476163,0.9608558633272516,0.2736842105263158,0.13471502590673576
has_mustache,0.9852956404680544,0.9386299552164538,0.9297549293383203,0.9386299552164538,0.9311440677966102,0.8798798798798799
well_groomed,0.9034324644218494,0.8406037485486814,0.7968491765981931,0.8406037485486814,0.8630678077682686,0.9210772833723654
has_makeup,0.9840733161778469,0.9450986896666114,0.9356905734082837,0.9450986896666114,0.8893550078657577,0.933920704845815
wearing_glasses,0.9929689741673935,0.9820865815226406,0.9511808392974106,0.9820865815226406,0.9740034662045061,0.8580152671755725
wearing_hat,0.9894359804866553,0.9776082269033007,0.9291548307045783,0.9776082269033007,0.88671875,0.8549905838041432
clear_skin,0.9498632595439336,0.8930170840935479,0.8450685819751569,0.8930170840935479,0.9153572176827991,0.9477223427331887
dark_circles,0.9387722029297889,0.8633272516171836,0.8575614654640107,0.8633272516171836,0.8436179205409975,0.8146938775510204
oily_skin,0.8671369722536212,0.7988057721015094,0.7673791600882811,0.7988057721015094,0.7558139534883721,0.6211180124223602
thick_eyebrow,0.9247016575028861,0.8558633272516172,0.8391772020896523,0.8558633272516172,0.8813601389923058,0.9008117706747844
big_eyes,0.9241848780290219,0.8678056062365235,0.8128049469132379,0.8678056062365235,0.7361319340329835,0.6881569726699369
big_lips,0.8473700719870082,0.9714712224249461,0.6593785310734464,0.9714712224249461,0.5,0.25
sharp_nose,0.9486364587668988,0.9457621496102173,0.7919275861650441,0.9457621496102173,0.6692506459948321,0.5655021834061136
adult,0.9056770370202019,0.9082766627964837,0.6434347101869702,0.9082766627964837,0.9119808579729961,0.9929289170078154
old,0.9711455959486346,0.9598606734118428,0.8614717800894014,0.9598606734118428,0.7879464285714286,0.706
mouth_open,0.9213708333016074,0.8563609222093216,0.8447161827128065,0.8563609222093216,0.8731974142217802,0.7418673426277989
male,0.9937514669442538,0.9552164538066015,0.9541841139847165,0.9552164538066015,0.969732246798603,0.952544311034877
double_chin,0.9265177452245983,0.9772764969314978,0.6567834236764849,0.9772764969314978,0.2920353982300885,0.36666666666666664
veil,0.9909752733580742,0.9819207165367391,0.8201193600226862,0.9819207165367391,0.5260416666666666,0.8487394957983193
wrinkle,0.9692277616164392,0.9149112622325427,0.8707545862948028,0.9149112622325427,0.8556701030927835,0.7427293064876958
chubby,0.9562926047331313,0.8843921048266711,0.8744574676020636,0.8843921048266711,0.8644793152639088,0.8152466367713005
