attribute,auc,accuracy,macro_f1,micro_f1,precision,recall
attractive,0.9449051303318788,0.8674738762647205,0.8672873935902115,0.8674738762647205,0.8850371418464804,0.8407258064516129
blurry_image,0.9721798047665909,0.9674904627633106,0.8537221453088452,0.9674904627633106,0.6972972972972973,0.7543859649122807
sharp_jawline,0.8931704291467886,0.8404378835627799,0.7937277186453506,0.8404378835627799,0.7450847457627119,0.6522255192878338
high_cheekbones,0.982400236768115,0.9293415160059711,0.923073232096325,0.9293415160059711,0.8928242870285189,0.9095595126522962
smiling,0.9569963996832039,0.8804113451650356,0.8803902852865606,0.8804113451650356,0.8595856626109832,0.8988995873452544
bald,0.9832211721153729,0.9713053574390447,0.8566334537290295,0.9713053574390447,0.6572237960339944,0.8169014084507042
receeding_hairline,0.9631735965047905,0.957870293581025,0.7975887224516813,0.957870293581025,0.6810631229235881,0.5647382920110193
long_hair,0.9826063340854014,0.9339857356112125,0.9262288076398255,0.9339857356112125,0.9036381514257621,0.9009803921568628
curly_hair,0.9493922244443499,0.9855697462265716,0.770945153704565,0.9855697462265716,0.4344262295081967,0.7464788732394366
grey_hair,0.9928404286835237,0.9776082269033007,0.8850522847820588,0.9776082269033007,0.9063670411985019,0.6875
black_hair,0.9733535965432516,0.9427765798639907,0.8785709469429288,0.9427765798639907,0.9482011678282163,0.9862852664576802
has_beard,0.9917980548357592,0.9603582683695472,0.9496928445729473,0.9603582683695472,0.941875,0.91167574107683
patchy_beard,0.942624304389052,0.9595289434400398,0.7183788957806877,0.9595289434400398,0.40077821011673154,0.533678756476684
has_mustache,0.9913627346026254,0.954718858848897,0.9487073427147119,0.954718858848897,0.938485002541942,0.923923923923924
well_groomed,0.9193934705822049,0.8498921877591641,0.8128584867249191,0.8498921877591641,0.8788561134879531,0.9140515222482436
has_makeup,0.9863405276932842,0.9480842594128379,0.9369667801763903,0.9480842594128379,0.9470553242117787,0.8766519823788547
wearing_glasses,0.9932280672846642,0.9887211809586997,0.9709602527792227,0.9887211809586997,0.9453717754172989,0.9511450381679389
wearing_hat,0.9879672046469218,0.9799303367059213,0.9334838521847983,0.9799303367059213,0.9456521739130435,0.8192090395480226
clear_skin,0.9557044999763056,0.8996516835296069,0.8609740932468699,0.8996516835296069,0.9354207436399217,0.9331887201735358
dark_circles,0.943437512473556,0.8452479681539227,0.8305433418291764,0.8452479681539227,0.920687742651137,0.6775510204081633
oily_skin,0.8984134348331061,0.8278321446342677,0.8022900991983306,0.8278321446342677,0.7981910684002261,0.674629718107979
thick_eyebrow,0.9498606653203603,0.8520484325758833,0.8454139890838557,0.8520484325758833,0.9571342925659473,0.8099949264332826
big_eyes,0.9465940130841014,0.8983247636423951,0.8570367666295015,0.8983247636423951,0.7988252569750367,0.7624386825508059
big_lips,0.87576285184494,0.9703101675236357,0.6692983286739923,0.9703101675236357,0.4666666666666667,0.28488372093023256
sharp_nose,0.9677921143413449,0.9421131199203848,0.8250097282841784,0.9421131199203848,0.5852895148669797,0.8165938864628821
adult,0.924081171146345,0.9114280975286118,0.7719525732956612,0.9114280975286118,0.9506517690875232,0.949944175660588
old,0.9734943027672274,0.9623486482003649,0.8763483961096333,0.9623486482003649,0.7724550898203593,0.774
mouth_open,0.9610404023833075,0.9054569580361586,0.8994552579364847,0.9054569580361586,0.9104613978985838,0.8419940853400929
male,0.9954957610817402,0.967988057721015,0.9670179311408251,0.967988057721015,0.9635343618513323,0.9819897084048027
double_chin,0.9608632205197284,0.9810913916072317,0.6951971688574318,0.9810913916072317,0.38,0.4222222222222222
veil,0.9897908401939456,0.9890529109305025,0.8722019671019162,0.9890529109305025,0.6827586206896552,0.8319327731092437
wrinkle,0.971319350594152,0.9208824017249958,0.886922580131466,0.9208824017249958,0.8121387283236994,0.8381804623415362
chubby,0.9638371910474435,0.8805772101509372,0.8757951220383142,0.8805772101509372,0.7886085626911316,0.9251121076233184
