attribute,auc,accuracy,macro_f1,micro_f1,precision,recall
attractive,0.9414751355092293,0.86067341184276,0.8606725494032565,0.86067341184276,0.8515470704410797,0.8692876344086021
blurry_image,0.976193781446759,0.9698125725659313,0.8686548976797188,0.9698125725659313,0.702020202020202,0.8128654970760234
sharp_jawline,0.8925787333803301,0.8349643390280311,0.7842973134460166,0.8349643390280311,0.7426160337552743,0.626706231454006
high_cheekbones,0.9813694292420654,0.9326588157240007,0.926894130538042,0.9326588157240007,0.8923705722070845,0.9208059981255857
smiling,0.959565410162422,0.888870459446011,0.8883815920799434,0.888870459446011,0.9110947832476121,0.8528198074277854
bald,0.9766091763811765,0.979101011776414,0.856412007004237,0.979101011776414,0.9593023255813954,0.5809859154929577
receeding_hairline,0.9620392870721786,0.9606899983413502,0.7777090673358701,0.9606899983413502,0.8214285714285714,0.44352617079889806
long_hair,0.9837212874620894,0.9378006302869464,0.9309421185679725,0.9378006302869464,0.8985160363810436,0.9200980392156862
curly_hair,0.9637485875305543,0.9882235860009951,0.7869548750000621,0.9882235860009951,0.5,0.6901408450704225
grey_hair,0.9893239467068073,0.9776082269033007,0.8955247445448017,0.9776082269033007,0.8258258258258259,0.78125
black_hair,0.9714404176904178,0.9404544700613701,0.872861382663618,0.9404544700613701,0.9458748355572261,0.98608934169279
has_beard,0.9905046334236903,0.9568751036656162,0.9463243143589803,0.9568751036656162,0.908984145625367,0.9364791288566243
patchy_beard,0.9421874944510932,0.9669928678056062,0.6631526785175328,0.9669928678056062,0.4727272727272727,0.2694300518134715
has_mustache,0.9903442266379503,0.9535578039475867,0.9478473355342995,0.9535578039475867,0.9219056974459725,0.9394394394394394
well_groomed,0.9192539405905793,0.8548681373362084,0.8191286005721439,0.8548681373362084,0.8824059472854247,0.9173302107728337
has_makeup,0.9885657828558763,0.9568751036656162,0.9488744779296019,0.9568751036656162,0.925601750547046,0.9317180616740088
wearing_glasses,0.9949888777461171,0.9905456958036158,0.9752433518011826,0.9905456958036158,0.9716088328075709,0.9404580152671755
wearing_hat,0.9908502937894211,0.9837452313816554,0.948526972458138,0.9837452313816554,0.923679060665362,0.8888888888888888
clear_skin,0.9628182139204688,0.9056228230220601,0.8620643332084053,0.9056228230220601,0.9203245267318494,0.9596529284164859
dark_circles,0.9559250959394654,0.88538729474208,0.8813809969979081,0.88538729474208,0.8559287737757992,0.863265306122449
oily_skin,0.9021690575243068,0.8236855199867308,0.8100378259903664,0.8236855199867308,0.7219827586206896,0.8002866698518872
thick_eyebrow,0.9639431556320842,0.888206999502405,0.868558654490595,0.888206999502405,0.8698506111362607,0.9748858447488584
big_eyes,0.9469299323562742,0.8986564936141981,0.8545504676318318,0.8986564936141981,0.8182527301092044,0.7351086194814296
big_lips,0.8772548054206655,0.9447669596948084,0.6766402399455864,0.9447669596948084,0.28065395095367845,0.5988372093023255
sharp_nose,0.9662110947287066,0.957870293581025,0.8295732670931324,0.957870293581025,0.8,0.5938864628820961
adult,0.9270365940618812,0.9230386465417151,0.7519720196985635,0.9230386465417151,0.933592370187213,0.9836248604391514
old,0.9744561403508771,0.9633438381157737,0.8611966530326254,0.9633438381157737,0.8907563025210085,0.636
mouth_open,0.9611228901307045,0.9044617681207497,0.8979496264867183,0.9044617681207497,0.9186535764375876,0.8301647655259823
male,0.9949733651492222,0.9668270028197048,0.965770923509454,0.9668270028197048,0.9593314763231198,0.9845626072041166
double_chin,0.9618884585882397,0.9850721512688672,0.6921676084144598,0.9850721512688672,0.5,0.32222222222222224
veil,0.9915440287790243,0.9908774257754188,0.8826104765003233,0.9908774257754188,0.7666666666666667,0.773109243697479
wrinkle,0.9749936690819596,0.9286780560623652,0.8956750835816234,0.9286780560623652,0.851195065535852,0.8232662192393736
chubby,0.9684286754715956,0.9016420633604246,0.8925247491342707,0.9016420633604246,0.9006363191385218,0.8251121076233184
