attribute,auc,accuracy,macro_f1,micro_f1,precision,recall
attractive,0.9586279712533767,0.8838945098689667,0.883809581074664,0.8838945098689667,0.8937716262975779,0.8679435483870968
blurry_image,0.9839070744089577,0.9711394924531431,0.8787184068945042,0.9711394924531431,0.6981132075471698,0.8654970760233918
sharp_jawline,0.9146046800115852,0.8550340023221098,0.8102490475264496,0.8550340023221098,0.7865724381625442,0.6605341246290801
high_cheekbones,0.9848488858784904,0.9349809255266214,0.9288407944020908,0.9349809255266214,0.910075329566855,0.9058106841611996
smiling,0.9652455831221874,0.8988223586000995,0.8985957610227262,0.8988223586000995,0.905148095909732,0.8827372764786795
bald,0.983498204194707,0.9769447669596948,0.8659717607508503,0.9769447669596948,0.7799227799227799,0.7112676056338029
receeding_hairline,0.968908349937134,0.9625145131862664,0.8146340388342963,0.9625145131862664,0.7437722419928826,0.5757575757575758
long_hair,0.9853217672127762,0.9396251451318627,0.9328031207706393,0.9396251451318627,0.9052224371373307,0.9176470588235294
curly_hair,0.971310913483587,0.9928678056062366,0.8205129270266696,0.9928678056062366,0.78,0.5492957746478874
grey_hair,0.9939318542123722,0.9802620666777243,0.9061011216676218,0.9802620666777243,0.8652037617554859,0.7840909090909091
black_hair,0.9764459247648903,0.9507380991872616,0.8969378278766014,0.9507380991872616,0.9551221359590987,0.9882445141065831
has_beard,0.9932420251915801,0.9636755680875767,0.9537768957891128,0.9636755680875767,0.9520807061790668,0.9134906231094979
patchy_beard,0.9481705476460206,0.9727981423121579,0.7489569876747832,0.9727981423121579,0.6013986013986014,0.44559585492227977
has_mustache,0.9927699964911576,0.9603582683695472,0.9550490885274945,0.9603582683695472,0.9489535477284329,0.9304304304304304
well_groomed,0.9368630782073593,0.8724498258417648,0.8408054843139201,0.8724498258417648,0.8936361592084552,0.9306791569086651
has_makeup,0.9901833897805304,0.9593630784541384,0.952141300977839,0.9593630784541384,0.9198289684660609,0.9476872246696035
wearing_glasses,0.9943922817524014,0.9905456958036158,0.9754774680465956,0.9905456958036158,0.9614197530864198,0.9511450381679389
wearing_hat,0.9922079180993054,0.9817548515508376,0.9437822883734052,0.9817548515508376,0.8876611418047882,0.9077212806026366
clear_skin,0.9619078847803058,0.9041300381489468,0.8700650040016,0.9041300381489468,0.9474034620505992,0.9260303687635575
dark_circles,0.9626763261884803,0.885055564770277,0.8832488350792835,0.885055564770277,0.8105337575114882,0.9359183673469388
oily_skin,0.9091620976231263,0.8323104992536076,0.8181936758512482,0.8323104992536076,0.7398049645390071,0.7974199713330148
thick_eyebrow,0.9688363396707942,0.9061204179797645,0.8956105844143608,0.9061204179797645,0.922,0.9355657026889903
big_eyes,0.9542420391243928,0.9062862829656659,0.8616700098050503,0.9062862829656659,0.865874363327674,0.7147862648913805
big_lips,0.927288357004737,0.9605241333554486,0.7193027277422182,0.9605241333554486,0.376865671641791,0.5872093023255814
sharp_nose,0.9744943990205047,0.9487477193564439,0.8386829010080235,0.9487477193564439,0.626057529610829,0.8078602620087336
adult,0.9420249320306707,0.9283463260905623,0.7746636212624585,0.9283463260905623,0.9385871494497693,0.983997022701898
old,0.9809319949357931,0.9706418974954387,0.8961690977615894,0.9706418974954387,0.8817966903073287,0.746
mouth_open,0.9678690034580248,0.912920882401725,0.9082378492573606,0.912920882401725,0.9004347826086957,0.8749471905365441
male,0.99648001149384,0.9714712224249461,0.9706953616183356,0.9714712224249461,0.9735193621867881,0.9774156660949114
double_chin,0.9728929299732465,0.9824183114944435,0.774681982286907,0.9824183114944435,0.44666666666666666,0.7444444444444445
veil,0.992948854668771,0.993033670592138,0.9121568741726265,0.993033670592138,0.808,0.8487394957983193
wrinkle,0.9794945064174514,0.9359761154420302,0.9050448908046071,0.9359761154420302,0.8829190056134724,0.8210290827740492
chubby,0.9719991217891893,0.9072814728810749,0.9001045575998259,0.9072814728810749,0.8827301878149336,0.8641255605381166
