attribute,auc,accuracy,macro_f1,micro_f1,precision,recall
attractive,0.9487344327279004,0.853375352463095,0.8522891698228502,0.853375352463095,0.7929971988795518,0.9512768817204301
blurry_image,0.9767665456355267,0.975617847072483,0.8836809335733047,0.975617847072483,0.7981651376146789,0.7631578947368421
sharp_jawline,0.9000618882895879,0.8465748880411346,0.7951838300253767,0.8465748880411346,0.7870090634441088,0.6183976261127596
high_cheekbones,0.9828866460617449,0.9331564106817051,0.9262910161048787,0.9331564106817051,0.9211678832116789,0.887066541705717
smiling,0.9587314403426758,0.892021894178139,0.8916355259901774,0.892021894178139,0.9087287214777254,0.8627922971114168
bald,0.9862121379276529,0.9764471720019904,0.873469876384102,0.9764471720019904,0.7320261437908496,0.7887323943661971
receeding_hairline,0.9577616812478669,0.9580361585669265,0.8129050094931263,0.9580361585669265,0.6544943820224719,0.6418732782369146
long_hair,0.9838182452725386,0.9404544700613701,0.9333531470509271,0.9404544700613701,0.9158832261256804,0.9073529411764706
curly_hair,0.9507515046641041,0.9912091557472218,0.7787717472654301,0.9912091557472218,0.68,0.4788732394366197
grey_hair,0.9908772639198039,0.9809255266213303,0.9090020908906806,0.9809255266213303,0.8738170347003155,0.7869318181818182
black_hair,0.9752160467677708,0.9462597445679217,0.8915066422464469,0.9462597445679217,0.9589093701996928,0.978448275862069
has_beard,0.9913468227398858,0.961353458284956,0.9506088937582997,0.961353458284956,0.9539641943734015,0.9026013309134906
patchy_beard,0.9528804596803119,0.9723005473544535,0.7136348419953578,0.9723005473544535,0.6226415094339622,0.34196891191709844
has_mustache,0.9921656958372413,0.957870293581025,0.9521969656105189,0.957870293581025,0.9462640736949847,0.9254254254254254
well_groomed,0.9280216298114881,0.8551998673080112,0.8044224107047737,0.8551998673080112,0.8515835230801077,0.9634660421545668
has_makeup,0.9898337535068191,0.9608558633272516,0.9537370995918274,0.9608558633272516,0.9274891774891775,0.9438325991189427
wearing_glasses,0.9945348966042324,0.989550505888207,0.9729326539185537,0.989550505888207,0.9553846153846154,0.9480916030534351
wearing_hat,0.9922776232959905,0.9772764969314978,0.9332710185994939,0.9772764969314978,0.8272425249169435,0.9378531073446328
clear_skin,0.9571085164310206,0.8956709238679714,0.8365481349590416,0.8956709238679714,0.8945490584737363,0.9789587852494577
dark_circles,0.955557760405084,0.8764305855034003,0.870654973331761,0.8764305855034003,0.8698481561822126,0.8183673469387756
oily_skin,0.8949111488546801,0.8336374191408193,0.8097071675547554,0.8336374191408193,0.8031145717463849,0.6899187768752986
thick_eyebrow,0.9627525570217118,0.8830651849394593,0.8623676305460969,0.8830651849394593,0.8657627118644068,0.971841704718417
big_eyes,0.9522195188283819,0.8925194891358434,0.858596256231579,0.8925194891358434,0.7362037598544573,0.8507358093903293
big_lips,0.9205264223687815,0.976281307016089,0.7044726370154495,0.976281307016089,0.6933333333333334,0.3023255813953488
sharp_nose,0.9721820500580438,0.9603582683695472,0.8375551293381255,0.9603582683695472,0.8328267477203647,0.5982532751091703
adult,0.9424512140728473,0.919223751865981,0.8006210096588148,0.919223751865981,0.9606032045240339,0.9482694454782286
old,0.9738903960933261,0.9668270028197048,0.8816173710063289,0.9668270028197048,0.8623188405797102,0.714
mouth_open,0.9603289311410743,0.9082766627964837,0.9029695838049592,0.9082766627964837,0.9027531083481349,0.8588931136459653
male,0.9958272142415183,0.9696467075800299,0.9686747368338267,0.9696467075800299,0.9613136654606179,0.9874213836477987
double_chin,0.950736188284597,0.9885553159727981,0.7686257235295393,0.9885553159727981,0.6721311475409836,0.45555555555555555
veil,0.9903325797324005,0.9918726156908276,0.8987353791171819,0.9918726156908276,0.7734375,0.8319327731092437
wrinkle,0.9771315469327815,0.9280145961187594,0.8893135150757102,0.9280145961187594,0.9038290293855743,0.7568978374347501
chubby,0.9656493271181819,0.8941781389948582,0.8821931222013033,0.8941781389948582,0.9243070362473348,0.7775784753363228
